CBFA2T3,11,11,12,11,12,12,11,12,12,11,12,11,12,11,12,12,12,11,11,11,11,12,11,12,12,11,11,11,11,12
GRK3,5,5,6,5,7,6,5,6,7,5,6,5,6,6,6,7,6,5,5,6,5,6,6,6,7,5,6,5,5,7
APBA2,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
MRC1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UBE2E2,5,5,6,5,7,6,5,6,7,5,6,5,6,6,6,7,6,5,5,6,5,6,6,6,7,5,6,5,5,7
FMN1,10,10,11,10,11,11,10,11,11,10,11,10,11,10,11,11,11,10,10,10,10,11,10,11,11,10,10,10,10,11
SERPINA1,15,16,17,16,17,17,15,17,17,15,17,15,17,16,17,17,16,15,15,15,15,17,15,17,17,15,15,16,15,17
LST1,12,12,21,13,21,21,12,21,21,12,21,12,21,12,21,21,21,12,12,13,12,21,12,21,21,12,12,12,12,21
PPP2R2B,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
P2RY8,4,4,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,5,4,5,5,4,4,4,4,5
EEF1A1,6,6,7,6,8,7,6,7,8,6,7,6,7,7,7,8,7,6,6,7,6,7,7,7,8,6,7,6,6,8
PDGFD,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
SLC9A9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CSF1R,1,1,3,1,3,3,1,3,3,1,3,1,3,1,3,3,3,1,1,1,1,3,1,3,3,1,1,1,1,3
SNX29,1,5,3,5,3,3,1,3,3,1,3,1,3,6,3,3,3,1,1,1,1,3,1,3,3,1,1,5,1,3
STK39,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
SFMBT2,7,7,29,-1,-1,29,-1,8,-1,7,8,7,30,-1,8,6,29,7,7,-1,7,8,-1,8,-1,-1,-1,7,7,-1
